spanish	english 
aburrir	to bore
acordarse (de) (o:ue)	to remember
acostarse (o:ue)	to go to bed
afeitarse	to shave
la alarma	alarm
algo	something; anything
alguien	someone; somebody; anyone
alguno/a(s), algún	some; any
antes (de)	before
la araña	spider
la ayuda	help
bañarse	to bathe; to take a bath
el baño, el cuarto de baño	bathroom
cepillarse el pelo	to brush one's hair
cepillarse los dientes	to brush one's teeth
el cepillo	brush
el champú	shampoo
la crema de afeitar	shaving cream
cuando	when
desde hace	for (a period of time)
el desorden	mess
el despertador	alarm clock
despertarse (e:ie)	to wake up
después	afterwards; then
después (de)	after
dormirse (o:ue)	to go to sleep; to fall asleep
la ducha	shower
ducharse	to shower; to take a shower
durante	during
¿En serio?	Really?
encantar	to like very much; to love (inanimate objects)
enojarse (con)	to get angry (with)
entonces	then
el espejo	mirror
faltar	to lack; to need
fascinar	to fascinate; to like very much
gracioso/a	funny
gritar	to scream
importar	to be important to; to matter
el inodoro	toilet
interesar	to be interesting to; to interest
irse	to go away; to leave
el jabón	soap
jamás	never; not ever
el lavabo	sink
lavarse la cara	to wash one's face
lavarse las manos	to wash one's hands
levantarse	to get up
llamar	to call
llamarse	to be called; to be named
luego	then
el maquillaje	makeup
maquillarse	to put on makeup
más tarde	later (on)
molestar	to bother; to annoy
nada	nothing; not anything
nadie	no one; nobody; not anyone
ni… ni	neither… nor
ninguno/a, ningún	no; none; not any
nunca	never; not ever
o… o	either… or
las pantuflas	slippers
la pasta de dientes	toothpaste
peinarse	to comb one's hair
ponerse	to put on
ponerse (+ adj.)	to become (+ adj.)
por eso	that's why
por la mañana	in the morning
por la noche	at night
por la tarde	in the afternoon; in the evening
por último	finally
preocuparse (por)	to worry (about)
probarse (o:ue)	to try on
quedar	to be left over; to fit (clothing)
quedarse	to stay; to remain
quitarse	to take off
la rutina diaria	daily routine
secarse	to dry oneself
sentarse (e:ie)	to sit down
sentirse (e:ie)	to feel (how; emotions)
sentir (e:ie)	to feel (what; sensations)
siempre	always
también	also; too
tampoco	neither; not either
la toalla	towel
vestirse (e:i)	to get dressed
